tag	spcode	x	y	dbh1	dbh2	dbh3	recr1	recr2	recr3	pom1	pom2	pom3	code1	code2	code3	mult1	mult2	mult3	date1	date2	date3
000031	SWARS1	9.6	8.3	201	205	205	A	A	A	1	1	1	M	MQ	M	2	2	3	11/02/1994	11/11/1997	11/23/1998
000032	POSOLA	9.6	7.2	27	31	32	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000033	FARAOC	9.1	6.3	41	49	49	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000034	HEISCO	8.3	6.4	15	23	27	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000035	AST2GR	6.7	0.3	58	61	60	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000036	EUGEPR	6.2	0.7	10	11	11	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000037	POUTCA	10.9	38.9	15	13	15	A	A	A	1	1	1	L	M	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000038	COCCPA	6.9	3.5	19	22	23	A	A	A	1	1	1	ML	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000039	TRI2HI	14.5	0.9	485	490	491	A	A	A	1	1	1	M	*	*	3	1	1	11/02/1994	11/11/1997	11/23/1998
000040	POSOLA	12.7	0.6	11	11	12	A	A	A	1	1	1	*	M	M	1	2	2	11/02/1994	11/11/1997	11/23/1998
000041	EUGEPR	11.7	0.9	18	20	20	A	A	A	1	1	1	M	M	M	3	3	3	11/02/1994	11/11/1997	11/23/1998
000042	ARDIRE	10.3	3.7	115	118	127	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000043	GUARGL	12.2	4.6	31	36	36	A	A	A	1	1	1	*	M	M	1	2	2	11/02/1994	11/11/1997	11/23/1998
000044	EUGEPR	12.7	4.5	14	15	16	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000045	POSOLA	13.7	2.4	38	45	46	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000046	AST2GR	13.3	3.3	95	99	102	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000047	EUGEPR	13.8	3.6	12	16	17	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000048	BACTMA	13.1	5.8	28	31	30	A	A	A	1	1	1	*	M	MR	1	3	2	11/02/1994	11/11/1997	11/23/1998
000049	SLOATE	11.1	8.5	24	31	32	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000050	BURSSI	13.7	8.9	352	362	371	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000051	POUTCA	13.8	8.4	34	36	37	A	A	A	1	1	1	M	M	M	4	4	4	11/02/1994	11/11/1997	11/23/1998
000052	PROTTE	14.8	9.8	13	30	30	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000053	EUGEPR	13.2	9.0	21	21	0	A	A	B	1	1	2	L	L	R	1	1	1	11/02/1994	11/11/1997	11/23/1998
000054	EUGEPR	12.1	9.9	28	20	22	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000055	FARAOC	13.1	11.6	12	14	17	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000056	SWARS1	12.9	11.8	15	19	21	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000057	BACTMA	11.6	10.8	31	40	40	A	A	A	1	1	1	*	M	MR	1	4	2	11/02/1994	11/11/1997	11/23/1998
000058	CUPASY	10.2	10.5	41	44	45	A	A	A	1	1	1	M	M	M	4	4	6	11/02/1994	11/11/1997	11/23/1998
000059	PALIGU	11.0	13.7	18	23	-1	A	A	D	1	1	0	*	*	DS	1	1	-1	11/02/1994	11/11/1997	11/23/1998
000060	CLAVME	10.5	13.9	17	17	19	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000061	SOROAF	12.3	13.5	19	18	18	A	A	A	1	1	1	L	ML	ML	1	2	2	11/02/1994	11/11/1997	11/23/1998
000062	EUGECO	11.4	14.9	18	23	23	A	A	A	1	1	1	*	M	*	1	2	1	11/02/1994	11/11/1997	11/23/1998
000063	CHR2CA	11.5	14.5	13	17	17	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000064	EUGECO	12.9	14.7	15	20	21	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000065	COU2CU	14.0	14.1	13	16	21	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000066	TRI2PL	14.3	13.4	241	258	260	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000067	SWARS1	14.6	12.6	25	27	29	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000068	EUGEPR	13.5	12.9	12	12	13	A	A	A	1	1	1	*	M	M	1	2	2	11/02/1994	11/11/1997	11/23/1998
000069	COCCPA	13.2	15.5	21	26	27	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000070	FARAOC	12.7	15.3	30	33	34	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000071	POUTCA	12.4	16.0	16	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000072	PICRLA	12.2	15.6	23	32	37	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000073	FARAOC	10.1	16.2	20	22	-1	A	A	D	1	1	0	M	*	DS	2	1	-1	11/02/1994	11/11/1997	11/23/1998
000074	CAVAPL	10.8	17.9	1332	1375	1361	A	A	A	1	1	1	B	B	B	1	1	1	11/02/1994	11/11/1997	11/23/1998
000075	COU2CU	13.0	19.5	56	26	27	A	A	A	1	1	1	M	MR	M	4	2	2	11/02/1994	11/11/1997	11/23/1998
000076	SWARS1	14.4	18.4	62	67	69	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000077	FARAOC	14.7	16.8	27	33	36	A	A	A	1	1	1	M	M	M	5	4	4	11/02/1994	11/11/1997	11/23/1998
000078	EUGEPR	14.3	16.3	14	21	22	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000079	SLOATE	13.7	17.0	15	14	14	A	A	A	1	1	1	*	M	*	1	2	1	11/02/1994	11/11/1997	11/23/1998
000080	CUPARU	19.1	16.0	16	18	20	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000081	PICRLA	17.7	13.5	19	0	-1	A	B	D	1	2	0	L	R	DS	1	-1	-1	11/02/1994	11/11/1997	11/23/1998
000082	ACALDI	17.1	17.5	49	23	44	A	A	A	1	1	1	ML	ML	ML	2	2	3	11/02/1994	11/11/1997	11/23/1998
000083	MYRCGA	15.6	18.0	21	23	26	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000084	EUGEPR	15.7	19.6	15	27	16	A	A	A	1	1	1	L	M	MR	1	3	2	11/02/1994	11/11/1997	11/23/1998
000085	NECTMA	18.6	18.9	21	35	39	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000086	BROSAL	18.8	19.0	22	23	24	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000087	PICRLA	19.4	19.8	26	39	41	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000088	CUPASY	19.0	18.2	28	31	34	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000089	FARAOC	19.5	17.3	38	60	59	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000090	PROTTE	18.0	11.8	28	34	35	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000091	CAL2CA	16.7	11.6	74	88	88	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000092	FARAOC	16.4	12.7	22	31	32	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000093	FARAOC	15.2	13.8	12	18	20	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000094	COCCPA	15.5	14.7	11	14	13	A	A	A	1	1	1	*	*	M	1	1	2	11/02/1994	11/11/1997	11/23/1998
000095	CUPASY	17.0	14.5	32	34	34	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000096	NECTMA	18.8	12.1	15	0	10	A	B	A	1	2	2	*	LR	*	1	-1	1	11/02/1994	11/11/1997	11/23/1998
000097	TROPRA	19.8	5.8	20	25	24	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000098	CAVAPL	16.1	7.4	1500	1515	1517	A	A	A	1	2	2	B	B	B	1	1	1	11/02/1994	11/11/1997	11/23/1998
000099	SWARS1	15.4	5.2	62	63	64	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000100	AST2GR	15.8	7.4	17	20	20	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000101	GUARGL	16.1	8.1	68	69	69	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000102	EUGEPR	15.8	9.4	24	38	28	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000103	FARAOC	17.0	9.8	12	15	18	A	A	A	1	1	1	M	M	M	2	2	2	11/02/1994	11/11/1997	11/23/1998
000104	CLAVME	17.6	9.4	27	26	26	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000105	TRIPCU	18.7	8.9	13	17	17	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000106	PROTTE	18.1	8.1	25	34	39	A	A	A	1	1	1	*	M	M	1	2	2	11/02/1994	11/11/1997	11/23/1998
000107	TROPRA	18.1	7.6	16	18	18	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000108	CLAVME	17.2	7.8	22	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000109	BROSAL	16.6	7.5	13	15	16	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000110	COU2CU	16.0	3.0	39	44	48	A	A	A	1	1	1	M	M	M	3	2	2	11/02/1994	11/11/1997	11/23/1998
000111	BACTMA	15.3	4.8	28	31	31	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000112	TRI2PL	17.6	4.4	139	139	139	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000113	ALIBED	18.4	4.4	15	11	12	A	A	A	1	1	1	M	R	*	2	1	1	11/02/1994	11/11/1997	11/23/1998
000114	MYRCGA	18.8	4.8	68	74	-1	A	A	D	1	1	0	*	*	DS	1	1	-1	11/02/1994	11/11/1997	11/23/1998
000115	ANNOHA	19.8	2.5	36	37	41	A	A	A	1	1	1	M	MR	M	3	4	4	11/02/1994	11/11/1997	11/23/1998
000116	COU2CU	18.9	2.5	25	29	30	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000117	EUGEPR	18.2	3.1	11	10	10	A	A	A	1	1	1	L	L	L	1	1	1	11/02/1994	11/11/1997	11/23/1998
000118	PROTTE	17.5	3.2	128	157	160	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000119	SWARS1	3.5	20.2	22	24	23	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000120	COCCPA	3.1	20.5	66	69	65	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000121	GUARGL	4.2	296.1	22	25	25	A	A	A	1	1	1	L	*	*	1	1	1	11/21/1994	11/28/1997	12/11/1998
000122	COCCPA	2.0	20.4	12	16	17	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000123	COU2CU	1.7	24.5	23	33	35	A	A	A	1	1	1	M	M	M	3	3	3	11/07/1994	11/12/1997	11/24/1998
000124	TRI2PL	2.7	23.5	108	111	111	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000125	FARAOC	4.2	22.1	20	21	23	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000126	CUPASY	1.9	22.6	18	19	22	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000127	CUPASY	1.9	22.8	23	24	26	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000128	EUGEPR	3.9	25.9	12	14	14	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000129	AST2GR	1.3	29.6	10	0	10	A	B	A	1	2	2	*	R	*	1	-1	1	11/07/1994	11/12/1997	11/24/1998
000130	POUTCA	4.7	29.7	105	112	114	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000131	SLOATE	2.9	31.1	23	26	26	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000132	CAVAPL	2.6	33.6	1363	1355	1361	A	A	A	1	1	1	B	B	B	1	1	1	11/07/1994	11/12/1997	11/24/1998
000133	ALSEBL	4.8	32.6	181	188	190	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000134	SWARS2	2.2	34.4	91	97	98	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000135	DALBRE	2.5	34.3	301	316	322	A	A	A	1	2	2	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000136	COU2CU	0.2	35.6	52	54	54	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000137	COU2CU	0.2	37.9	51	57	59	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000138	SWARS1	7.8	36.0	112	122	127	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000139	CAL2CA	6.7	35.2	126	240	247	A	A	A	1	1	1	*	M	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000140	COU2CU	6.6	35.6	34	37	40	A	A	A	1	1	1	M	M	M	4	4	4	11/07/1994	11/12/1997	11/24/1998
000141	IXORFL	6.8	39.3	65	76	77	A	A	A	1	1	1	M	M	M	5	2	5	11/07/1994	11/12/1997	11/24/1998
000142	HEISCO	8.5	38.9	11	18	18	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000143	CASEGU	9.7	38.6	129	32	35	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000144	EUGEPR	9.3	37.7	13	17	18	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000145	SWARS1	7.9	31.7	44	54	55	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000146	AST2GR	5.1	32.6	29	19	20	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000147	ALBIAD	5.7	34.4	14	14	14	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000148	AST2GR	5.8	34.8	22	23	23	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000149	EUGEPR	9.6	31.4	12	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000150	POUTCA	8.4	25.4	10	10	11	A	A	A	1	1	1	*	*	R	1	1	1	11/07/1994	11/12/1997	11/24/1998
000151	NEEADE	6.7	26.5	34	34	35	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000152	SWARS1	5.5	29.8	35	47	55	A	A	A	1	1	1	M	M	M	2	3	2	11/07/1994	11/12/1997	11/24/1998
000153	PROTTE	8.4	20.0	57	78	85	A	A	A	1	1	1	M	M	*	2	2	1	11/07/1994	11/12/1997	11/24/1998
000154	TRIPCU	6.4	24.5	21	23	23	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000155	CUPASY	6.7	23.7	75	79	57	A	A	A	1	1	1	M	ML	MR	5	4	3	11/07/1994	11/12/1997	11/24/1998
000156	HEISCO	9.6	25.9	15	22	24	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000157	SWARS1	11.5	24.9	110	121	126	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000158	NEEADE	14.8	22.3	13	16	16	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000159	CAL2CA	14.7	22.4	50	51	51	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000161	EUGECO	12.9	22.5	11	19	0	A	A	B	1	1	2	*	*	R	1	1	1	11/07/1994	11/12/1997	11/24/1998
000162	POSOLA	12.4	25.3	25	25	28	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000163	IXORFL	12.2	25.1	31	29	30	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000164	BROSAL	10.0	28.8	10	14	15	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000166	ANTITR	12.1	29.9	212	222	221	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000167	SOROAF	1.5	228.9	11	11	11	A	A	A	1	1	1	*	*	*	1	1	1	11/17/1994	11/25/1997	12/08/1998
000168	COU2CU	16.2	274.2	33	34	32	A	A	A	1	1	1	*	*	M	1	1	3	11/18/1994	11/27/1997	12/10/1998
000169	AST2GR	11.7	28.4	45	48	50	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000170	CUPASY	14.2	29.1	39	33	44	A	A	A	1	1	1	*	ML	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000171	ALBIAD	12.9	30.0	58	66	68	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000172	COU2CU	10.1	31.8	20	31	32	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000173	AST2GR	11.4	34.0	62	67	66	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000174	MACLTI	19.2	38.9	-2	16	17	P	A	A	0	1	1	*	*	*	-1	1	1	11/07/1994	11/12/1997	11/24/1998
000175	COU2CU	12.7	33.9	19	20	22	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000176	CASEGU	14.7	32.9	62	63	63	A	A	A	1	1	1	*	M	M	1	3	3	11/07/1994	11/12/1997	11/24/1998
000177	CAL2CA	14.0	36.4	83	76	76	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000178	EUGEPR	13.4	35.9	24	26	28	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000179	CAL2CA	11.1	35.7	320	345	344	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000180	AST2GR	10.4	37.3	37	45	45	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000181	VITECO	10.1	38.0	17	17	17	A	A	A	1	1	1	*	M	M	1	3	3	11/07/1994	11/12/1997	11/24/1998
000182	CAL2CA	11.0	37.7	143	171	174	A	A	A	1	2	2	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000183	TRI2PL	14.1	39.1	129	133	133	A	A	A	1	1	1	*	M	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000184	AST2GR	14.8	39.5	59	68	73	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000185	EUGEPR	13.1	37.1	23	27	30	A	A	A	1	1	1	M	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000186	EUGEPR	14.7	37.9	11	28	19	A	A	A	1	1	2	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000187	EUGEPR	15.1	39.5	13	15	15	A	A	A	1	1	1	*	M	*	1	2	1	11/07/1994	11/12/1997	11/24/1998
000188	AST2GR	16.3	39.3	25	34	38	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000189	EUGEPR	18.2	39.1	31	33	37	A	A	A	1	1	1	*	M	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000190	UN2_CO	18.7	39.7	11	-1	-1	A	D	D	1	0	0	*	DC	DT	1	-1	-1	11/07/1994	11/12/1997	11/24/1998
000191	TRIPCU	19.7	38.1	68	63	65	A	A	A	1	1	1	*	M	M	2	2	2	11/07/1994	11/12/1997	11/24/1998
000192	NECTMA	18.1	37.9	11	14	15	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000193	EUGEPR	17.3	37.1	28	21	21	A	A	A	1	1	1	*	M	M	1	2	2	11/07/1994	11/12/1997	11/24/1998
000194	AST2GR	18.9	31.1	16	0	0	A	B	B	1	2	2	*	R	*	1	-1	1	11/07/1994	11/12/1997	11/24/1998
000195	CAL2CA	15.8	31.4	65	-9	66	A	*	A	1	0	1	M	M	*	2	-9	1	11/07/1994	11/12/1997	11/24/1998
000196	SWARS1	16.4	33.9	91	95	95	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000197	COU2CU	18.6	33.2	11	13	15	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000198	COU2CU	18.0	33.0	19	23	24	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000199	PROTTE	18.2	25.7	38	42	46	A	A	A	1	1	1	ML	M	M	3	3	3	11/07/1994	11/12/1997	11/24/1998
000200	SWARS1	18.3	26.2	99	99	101	A	A	A	1	1	1	L	L	ML	1	1	2	11/07/1994	11/12/1997	11/24/1998
000201	CAL2CA	15.8	25.4	71	64	64	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000202	OURALU	15.5	29.0	13	13	14	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
000203	ALBIAD	15.1	29.5	26	27	28	A	A	A	1	1	1	*	*	*	1	1	1	11/07/1994	11/12/1997	11/24/1998
